,"""SPHA""","""BLIT""","""ASMA""","""MOSS""","""LEGR""","""CHCA""","""GRAS""","""SEDG""","""SMTR""","""PTAQ""","""COCA""","""VAAN""","""GAHI""","""ARNU""","""LYOB""","""PIMA""","""RUBU""","""VAOX""","""ROCK""","""ACSP""","""COCO""","""ACRU""","""TRBO""","""MACA""","""CLBO""","""STRO""","""FUNG""","""DILO""","""ERIO""","""GATR"""
_55,38,30,0,18,4,2,0,2,6,0,0,5,6,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
_56,68,13,0,6,34,5,0,5,2,0,0,2,3,0,0,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0
_57,72,5,0,4,17,20,0,14,0,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0
_62,66,1,0,12,7,20,17,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
_63,56,8,0,1,12,12,6,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,24,0
_64,56,0,0,6,6,24,0,34,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0
_68,62,8,0,9,4,5,1,10,1,0,0,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0
_69,1,15,11,5,0,0,2,0,0,2,17,7,1,1,3,0,0,0,5,0,2,1,1,3,4,1,0,0,0,0
_71,1,20,16,5,0,0,2,2,0,4,5,3,0,4,2,0,3,0,5,0,1,2,0,2,5,4,0,2,0,1
_72,0,32,14,4,0,0,1,0,0,0,4,0,0,5,5,0,4,0,0,3,2,2,5,4,3,5,0,3,0,2
_73,0,34,21,5,0,0,4,0,0,1,3,1,0,6,4,0,2,0,0,4,2,4,4,4,2,4,0,1,0,4
_74,0,24,4,2,0,0,5,0,0,3,4,1,0,7,3,0,4,0,0,4,5,2,4,3,2,4,0,2,0,1
_75,0,20,14,6,0,0,6,1,0,0,4,1,0,4,0,0,5,0,1,7,2,5,5,5,2,4,0,2,0,2
_77,0,46,2,7,0,0,2,1,0,0,4,0,0,4,2,0,3,0,2,4,0,2,4,3,5,3,0,0,0,2
_79,0,14,14,7,0,0,3,1,0,7,8,2,0,14,2,0,7,0,0,9,1,3,5,3,3,5,0,8,0,4
_80,0,6,18,2,0,0,5,0,0,2,0,0,0,7,0,0,6,0,0,2,1,2,2,2,1,1,1,3,0,4
_81,0,32,31,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,4,8,0,3,0,4,0,2,0,2,0,3
_82,0,18,48,6,0,0,5,0,0,1,2,0,0,8,0,0,4,0,1,12,0,1,2,3,1,3,0,3,0,4
_83,0,24,22,6,0,0,5,1,0,2,0,0,0,6,0,0,5,0,2,3,2,4,1,3,0,4,0,3,0,4
_84,0,22,23,4,0,0,1,1,0,20,1,3,0,8,3,0,0,0,3,1,1,5,3,2,0,1,1,0,0,0
_85,0,24,30,11,0,0,4,0,0,7,2,5,0,0,4,0,0,0,7,2,0,4,4,0,1,0,1,1,0,0
_86,2,22,10,4,0,0,5,0,0,4,6,5,0,0,4,0,4,0,18,0,2,0,0,0,0,0,1,1,0,0
_87,0,30,7,5,0,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,2,0,2,0,3,1,0,0
_88,0,42,12,4,0,0,2,1,0,0,4,2,0,4,6,0,2,0,3,1,3,2,3,2,4,1,3,1,0,0
_89,0,24,3,17,0,0,1,0,0,0,8,3,0,0,6,0,1,0,8,1,1,1,0,0,4,0,1,2,0,0
_90,0,24,13,6,0,0,5,1,0,0,4,2,0,0,6,0,1,0,1,0,3,5,2,0,2,0,2,0,0,0
_92,0,32,10,3,0,0,5,0,0,1,4,0,0,5,8,0,1,0,0,2,7,1,4,4,6,5,0,1,0,0
_93,0,26,12,1,0,0,4,0,0,3,3,2,0,3,6,0,3,0,0,4,6,2,4,4,4,5,1,1,0,4
_94,0,10,36,0,1,0,4,0,0,4,4,0,0,6,5,0,3,0,0,0,5,1,0,0,1,1,0,1,0,1
_95,0,16,26,2,1,0,7,0,0,3,3,6,0,2,0,0,8,0,0,0,9,0,1,1,0,0,0,1,0,2
_96,0,31,17,3,0,0,4,1,0,6,8,2,0,2,3,0,4,0,0,1,1,6,5,6,1,1,0,2,0,2
_97,0,11,36,2,0,0,3,2,0,18,4,1,0,2,3,0,3,0,0,0,1,3,2,5,2,2,0,8,0,1
_98,0,14,38,3,0,0,3,0,0,7,0,2,0,0,6,0,2,0,0,0,3,0,2,3,0,1,0,1,0,1
_99,0,42,20,4,0,0,5,1,0,9,4,5,0,0,1,0,5,0,0,0,3,0,0,0,0,1,0,1,0,0
_100,60,17,0,10,0,0,0,20,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
_101,36,35,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
_102,50,8,0,10,8,4,6,6,2,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0
_103,60,2,0,9,10,15,0,26,1,0,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0,0,3,0,0,0
_105,70,9,0,16,6,0,2,11,3,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0
